﻿Trait ID,Tên Trait,Mô Tả,Độ Hiếm (Rarity),Phân Loại Nhóm,Chỉ Số Tác Động,ATK,HP,DEF,SPD
TR_ATK_D,"trait_TR_ATK_D_name","trait_TR_ATK_D_desc",D,ATK_UP,ADD_STAT,5,0,0,0
TR_ATK_C,"trait_TR_ATK_C_name","trait_TR_ATK_C_desc",C,ATK_UP,ADD_STAT,15,0,0,0
TR_ATK_B,"trait_TR_ATK_B_name","trait_TR_ATK_B_desc",B,ATK_UP,ADD_STAT,35,0,0,0
TR_ATK_A,"trait_TR_ATK_A_name","trait_TR_ATK_A_desc",A,ATK_UP,ADD_STAT,100,0,0,0
TR_ATK_S,"trait_TR_ATK_S_name","trait_TR_ATK_S_desc",S,ATK_UP,MULTIPLY_STAT,20,0,0,0
TR_ATK_SS,"trait_TR_ATK_SS_name","trait_TR_ATK_SS_desc",SS,ATK_UP,MULTIPLY_STAT,50,0,0,0
TR_HP_D,"trait_TR_HP_D_name","trait_TR_HP_D_desc",D,HP_UP,ADD_STAT,0,20,0,0
TR_HP_C,"trait_TR_HP_C_name","trait_TR_HP_C_desc",C,HP_UP,ADD_STAT,0,80,0,0
TR_HP_B,"trait_TR_HP_B_name","trait_TR_HP_B_desc",B,HP_UP,ADD_STAT,0,200,0,0
TR_HP_A,"trait_TR_HP_A_name","trait_TR_HP_A_desc",A,HP_UP,ADD_STAT,0,500,0,0
TR_HP_S,"trait_TR_HP_S_name","trait_TR_HP_S_desc",S,HP_UP,MULTIPLY_STAT,0,20,0,0
TR_HP_SS,"trait_TR_HP_SS_name","trait_TR_HP_SS_desc",SS,HP_UP,MULTIPLY_STAT,0,50,0,0
TR_DEF_D,"trait_TR_DEF_D_name","trait_TR_DEF_D_desc",D,DEF_UP,ADD_STAT,0,0,2,0
TR_DEF_C,"trait_TR_DEF_C_name","trait_TR_DEF_C_desc",C,DEF_UP,ADD_STAT,0,0,10,0
TR_DEF_B,"trait_TR_DEF_B_name","trait_TR_DEF_B_desc",B,DEF_UP,ADD_STAT,0,0,25,0
TR_DEF_A,"trait_TR_DEF_A_name","trait_TR_DEF_A_desc",A,DEF_UP,ADD_STAT,0,0,60,0
TR_DEF_S,"trait_TR_DEF_S_name","trait_TR_DEF_S_desc",S,DEF_UP,MULTIPLY_STAT,0,0,20,0
TR_SPD_D,"trait_TR_SPD_D_name","trait_TR_SPD_D_desc",D,SPD_UP,ADD_STAT,0,0,0,2
TR_SPD_C,"trait_TR_SPD_C_name","trait_TR_SPD_C_desc",C,SPD_UP,ADD_STAT,0,0,0,5
TR_SPD_B,"trait_TR_SPD_B_name","trait_TR_SPD_B_desc",B,SPD_UP,ADD_STAT,0,0,0,12
TR_SPD_A,"trait_TR_SPD_A_name","trait_TR_SPD_A_desc",A,SPD_UP,ADD_STAT,0,0,0,30
TR_SPD_S,"trait_TR_SPD_S_name","trait_TR_SPD_S_desc",S,SPD_UP,MULTIPLY_STAT,0,0,0,20
D_08,"trait_D_08_name","trait_D_08_desc",D,MATURE_SPEED,SPECIAL,0,0,0,0
TR_ALL_S,"trait_TR_ALL_S_name","trait_TR_ALL_S_desc",S,ALL_STAT,MULTIPLY_STAT,10,10,10,10
TR_ALL_SS,"trait_TR_ALL_SS_name","trait_TR_ALL_SS_desc",SS,ALL_STAT,MULTIPLY_STAT,25,25,25,25
S_04,"trait_S_04_name","trait_S_04_desc",S,TWINS,SPECIAL,0,0,0,0
SS_07,"trait_SS_07_name","trait_SS_07_desc",SS,ELITE,SPECIAL,0,0,0,0
SSS_04,"trait_SSS_04_name","trait_SSS_04_desc",SSS,GENE_SELECTOR,SPECIAL,0,0,0,0
