﻿Mã Tòa Nhà,Cấp Độ (Level),Thời Gian Nâng Cấp (Giây),Giá Vàng (Gold),Giá Gỗ (Wood)
Barracks,1,0,0,0
Barracks,2,60,200,100
Barracks,3,1240,300,150
Barracks,4,2420,400,200
Barracks,5,3600,500,250
Barracks,6,7650,600,300
Barracks,7,11700,700,350
Barracks,8,15750,800,400
Barracks,9,19800,900,450
Barracks,10,23850,1000,500
Barracks,11,27900,1100,550
Barracks,12,31950,1200,600
Barracks,13,36000,1300,650
Barracks,14,117257,1400,700
Barracks,15,198514,1500,750
Barracks,16,279771,1600,800
Barracks,17,361028,1700,850
Barracks,18,442285,1800,900
Barracks,19,523542,1900,950
Barracks,20,604800,2000,1000
Hospital,1,0,0,0
Hospital,2,60,200,100
Hospital,3,1240,300,150
Hospital,4,2420,400,200
Hospital,5,3600,500,250
Hospital,6,7650,600,300
Hospital,7,11700,700,350
Hospital,8,15750,800,400
Hospital,9,19800,900,450
Hospital,10,23850,1000,500
Hospital,11,27900,1100,550
Hospital,12,31950,1200,600
Hospital,13,36000,1300,650
Hospital,14,117257,1400,700
Hospital,15,198514,1500,750
Hospital,16,279771,1600,800
Hospital,17,361028,1700,850
Hospital,18,442285,1800,900
Hospital,19,523542,1900,950
Hospital,20,604800,2000,1000
BreedingPen,1,0,0,0
BreedingPen,2,60,200,100
BreedingPen,3,1240,300,150
BreedingPen,4,2420,400,200
BreedingPen,5,3600,500,250
BreedingPen,6,7650,600,300
BreedingPen,7,11700,700,350
BreedingPen,8,15750,800,400
BreedingPen,9,19800,900,450
BreedingPen,10,23850,1000,500
BreedingPen,11,27900,1100,550
BreedingPen,12,31950,1200,600
BreedingPen,13,36000,1300,650
BreedingPen,14,117257,1400,700
BreedingPen,15,198514,1500,750
BreedingPen,16,279771,1600,800
BreedingPen,17,361028,1700,850
BreedingPen,18,442285,1800,900
BreedingPen,19,523542,1900,950
BreedingPen,20,604800,2000,1000
