﻿--- BẢNG KINH NGHIỆM TĂNG CẤP HERO ---
Cấp Độ (Level),Kinh Nghiệm Yêu Cầu (EXP)
1,100
2,110
3,121
4,133
5,146
6,160
7,176
8,193
9,212
10,233
11,256
12,281
13,309
14,339
15,372
16,409
17,449
18,493
19,542
20,596
21,655
22,720
23,792
24,871
25,958
26,1053
27,1158
28,1273
29,1400
30,1540
31,1694
32,1863
33,2049
34,2253
35,2478
36,2725
37,2997
38,3296
39,3625
40,3987
41,4385
42,4823
43,5305
44,5835
45,6418
46,7059
47,7764
48,8540
49,9394
50,10333
51,11366
52,12502
53,13752
54,15127
55,16639
56,18302
57,20132
58,22145
59,24359
60,26794
61,29473
62,32420
63,35662
64,39228
65,43150
66,47465
67,52211
68,57432
69,63175
70,69492
71,76441
72,84085
73,92493
74,101742
75,111916
76,123107
77,135417
78,148958
79,163853
80,180238
81,198261
82,218087
83,239895
84,263884
85,290272
86,319299
87,351228
88,386350
89,424985
90,467483
91,514231
92,565654
93,622219
94,684440
95,752884
96,828172
97,910989
98,1002087
99,1102295
100,1212524

--- BẢNG TIẾN HÓA VÀ ĐỘT PHÁ CẢNH GIỚI ---
Cấp Độ Yêu Cầu,Mô Tả Phần Thưởng
30,"Mở khóa Nhánh Nghề (Chọn 1 Trait hệ)"
50,"Nhận kỹ năng Active Level 2"
70,"Đột phá Bậc Hiếm Trait ngẫu nhiên"
100,"Hóa Thần! Chọn 1 Trait bậc S trở lên"
